Jurisdiction of Occurrence,Week ,All Cause
Kansas,20,601
Kansas,21,577
Kansas,22,514
Kansas,23,532
Kansas,24,566
Kansas,25,581
Kansas,26,553
Kansas,27,601
Kansas,28,580
Kansas,29,638
Kansas,30,636
Kansas,31,658
Kansas,32,577
Kansas,33,679
Kansas,34,719
Kansas,35,782
Kansas,36,813
Kansas,37,870
Kansas,38,880
Kansas,39,931
Kansas,40,855
Kansas,41,811
Kansas,42,789
Kansas,43,787
Kansas,44,675
Kansas,45,690
Kansas,46,681
Kansas,47,582
Kansas,48,587
Kansas,49,594
Kansas,50,552
Kansas,51,528
Kansas,52,506
Kansas,53,521
Kansas,54,521
Kansas,55,507
Kansas,56,496
Kansas,57,527
Kansas,58,512
Kansas,59,513
Kansas,60,504
Kansas,61,551
Kansas,62,470
Kansas,63,501
Kansas,64,499
Kansas,65,387
Kentucky,-11,"1,093"
Kentucky,-10,"1,058"
Kentucky,-9,"1,041"
Kentucky,-8,944
Kentucky,-7,978
Kentucky,-6,956
Kentucky,-5,955
Kentucky,-4,992
Kentucky,-3,"1,022"
Kentucky,-2,"1,006"
Kentucky,-1,"1,021"
Kentucky,0,949
Kentucky,1,937
Kentucky,2,"1,048"
Kentucky,3,"1,026"
Kentucky,4,960
Kentucky,5,975
Kentucky,6,998
Kentucky,7,"1,006"
Kentucky,8,995
Kentucky,9,998
Kentucky,10,987
Kentucky,11,918
Kentucky,12,"1,002"
Kentucky,13,966
Kentucky,14,937
Kentucky,15,993
Kentucky,16,"1,047"
Kentucky,17,936
Kentucky,18,968
Kentucky,19,"1,031"
Kentucky,20,"1,007"
Kentucky,21,"1,015"
Kentucky,22,"1,078"
Kentucky,23,"1,007"
Kentucky,24,"1,055"
Kentucky,25,"1,020"
Kentucky,26,"1,017"
Kentucky,27,"1,069"
Kentucky,28,"1,008"
Kentucky,29,"1,068"
Kentucky,30,"1,127"
Kentucky,31,"1,183"
Kentucky,32,"1,125"
Kentucky,33,"1,181"
Kentucky,34,"1,187"
Kentucky,35,"1,289"
Kentucky,36,"1,332"
Kentucky,37,"1,357"
Kentucky,38,"1,410"
Kentucky,39,"1,382"
Kentucky,40,"1,485"
Kentucky,41,"1,408"
Kentucky,42,"1,292"
Kentucky,43,"1,397"
Kentucky,44,"1,316"
Kentucky,45,"1,255"
Kentucky,46,"1,166"
Kentucky,47,"1,162"
Kentucky,48,"1,137"
Kentucky,49,"1,109"
Kentucky,50,"1,065"
Kentucky,51,"1,126"
Kentucky,52,"1,012"
Kentucky,53,"1,020"
Kentucky,54,976
Kentucky,55,"1,048"
Kentucky,56,"1,018"
Kentucky,57,"1,010"
Kentucky,58,980
Kentucky,59,940
Kentucky,60,871
Kentucky,61,939
Kentucky,62,883
Kentucky,63,729
Kentucky,64,576
Kentucky,65,345
Louisiana,-11,927
Louisiana,-10,967
Louisiana,-9,960
Louisiana,-8,970
Louisiana,-7,977
Louisiana,-6,956
Louisiana,-5,951
Louisiana,-4,950
Louisiana,-3,993
Louisiana,-2,964
Louisiana,-1,994
Louisiana,0,955
Louisiana,1,"1,233"
Louisiana,2,"1,390"
Louisiana,3,"1,529"
Louisiana,4,"1,360"
Louisiana,5,"1,248"
Louisiana,6,"1,171"
Louisiana,7,"1,129"
Louisiana,8,"1,105"
Louisiana,9,"1,052"
Louisiana,10,"1,054"
Louisiana,11,"1,016"
Louisiana,12,951
Louisiana,13,"1,004"
Louisiana,14,998
Louisiana,15,985
Louisiana,16,"1,061"
Louisiana,17,"1,152"
Louisiana,18,"1,213"
Louisiana,19,"1,205"
Louisiana,20,"1,243"
Louisiana,21,"1,181"
Louisiana,22,"1,132"
Louisiana,23,"1,098"
Louisiana,24,"1,110"
Louisiana,25,"1,027"
Louisiana,26,"1,040"
Louisiana,27,991
Louisiana,28,"1,036"
Louisiana,29,"1,044"
Louisiana,30,991
Louisiana,31,"1,008"
Louisiana,32,951
Louisiana,33,"1,052"
Louisiana,34,"1,056"
Louisiana,35,"1,068"
Louisiana,36,"1,084"
Louisiana,37,"1,103"
Louisiana,38,"1,238"
Louisiana,39,"1,207"
Louisiana,40,"1,240"
Louisiana,41,"1,252"
Louisiana,42,"1,392"
Louisiana,43,"1,398"
Louisiana,44,"1,354"
Louisiana,45,"1,240"
Louisiana,46,"1,188"
Louisiana,47,"1,152"
Louisiana,48,"1,152"
Louisiana,49,"1,091"
Louisiana,50,"1,065"
Louisiana,51,"1,029"
Louisiana,52,986
Louisiana,53,997
Louisiana,54,959
Louisiana,55,928
Louisiana,56,933
Louisiana,57,960
Louisiana,58,916
Louisiana,59,828
Louisiana,60,815
Louisiana,61,774
Louisiana,62,736
Louisiana,63,698
Louisiana,64,554
Louisiana,65,289
Maine,-11,320
Maine,-10,318
Maine,-9,295
Maine,-8,308
Maine,-7,288
Maine,-6,316
Maine,-5,329
Maine,-4,299
Maine,-3,292
Maine,-2,313
Maine,-1,301
Maine,0,277
Maine,1,279
Maine,2,300
Maine,3,304
Maine,4,310
Maine,5,285
Maine,6,277
Maine,7,293
Maine,8,256
Maine,9,267
Maine,10,302
Maine,11,255
Maine,12,254
Maine,13,275
Maine,14,299
Maine,15,280
Maine,16,289
Maine,17,294
Maine,18,282
Maine,19,283
Maine,20,276
Maine,21,280
Maine,22,312
Maine,23,285
Maine,24,289
Maine,25,319
Maine,26,299
Maine,27,309
Maine,28,289
Maine,29,302
Maine,30,275
Maine,31,275
Maine,32,275
Maine,33,334
Maine,34,323
Maine,35,307
Maine,36,349
Maine,37,342
Maine,38,353
Maine,39,324
Maine,40,347
Maine,41,350
Maine,42,344
Maine,43,362
Maine,44,335
Maine,45,356
Maine,46,302
Maine,47,327
Maine,48,289
Maine,49,280
Maine,50,327
Maine,51,284
Maine,52,246
Maine,53,266
Maine,54,309
Maine,55,286
Maine,56,307
Maine,57,291
Maine,58,302
Maine,59,295
Maine,60,292
Maine,61,334
Maine,62,310
Maine,63,292
Maine,64,315
Maine,65,271
Maryland,-11,"1,049"
Maryland,-10,"1,035"
Maryland,-9,988
Maryland,-8,"1,003"
Maryland,-7,"1,034"
Maryland,-6,"1,004"
Maryland,-5,"1,019"
Maryland,-4,973
Maryland,-3,"1,082"
Maryland,-2,"1,049"
Maryland,-1,"1,005"
Maryland,0,"1,064"
Maryland,1,"1,092"
Maryland,2,"1,191"
Maryland,3,"1,353"
Maryland,4,"1,357"
Maryland,5,"1,538"
Maryland,6,"1,523"
Maryland,7,"1,445"
Maryland,8,"1,431"
Maryland,9,"1,336"
Maryland,10,"1,265"
Maryland,11,"1,167"
Maryland,12,"1,158"
Maryland,13,"1,070"
Maryland,14,"1,031"
Maryland,15,"1,051"
Maryland,16,"1,031"
Maryland,17,"1,026"
Maryland,18,"1,002"
Maryland,19,"1,067"
Maryland,20,"1,007"
Maryland,21,"1,064"
Maryland,22,"1,002"
Maryland,23,"1,040"
Maryland,24,"1,046"
Maryland,25,996
Maryland,26,991
Maryland,27,"1,071"
Maryland,28,"1,074"
Maryland,29,"1,086"
Maryland,30,"1,052"
Maryland,31,"1,101"
Maryland,32,"1,071"
Maryland,33,"1,088"
Maryland,34,"1,106"
Maryland,35,"1,224"
Maryland,36,"1,185"
Maryland,37,"1,258"
Maryland,38,"1,378"
Maryland,39,"1,432"
Maryland,40,"1,337"
Maryland,41,"1,477"
Maryland,42,"1,364"
Maryland,43,"1,426"
Maryland,44,"1,366"
Maryland,45,"1,321"
Maryland,46,"1,273"
Maryland,47,"1,295"
Maryland,48,"1,169"
Maryland,49,"1,175"
Maryland,50,"1,144"
Maryland,51,"1,091"
Maryland,52,"1,142"
Maryland,53,"1,112"
Maryland,54,"1,060"
Maryland,55,"1,156"
Maryland,56,"1,031"
Maryland,57,"1,099"
Maryland,58,"1,074"
Maryland,59,"1,008"
Maryland,60,"1,038"
Maryland,61,992
Maryland,62,"1,006"
Maryland,63,957
Maryland,64,807
Maryland,65,710
Massachusetts,-11,"1,242"
Massachusetts,-10,"1,266"
Massachusetts,-9,"1,190"
Massachusetts,-8,"1,302"
Massachusetts,-7,"1,204"
Massachusetts,-6,"1,233"
Massachusetts,-5,"1,251"
Massachusetts,-4,"1,166"
Massachusetts,-3,"1,278"
Massachusetts,-2,"1,216"
Massachusetts,-1,"1,311"
Massachusetts,0,"1,170"
Massachusetts,1,"1,290"
Massachusetts,2,"1,549"
Massachusetts,3,"2,038"
Massachusetts,4,"2,494"
Massachusetts,5,"2,535"
Massachusetts,6,"2,310"
Massachusetts,7,"2,071"
Massachusetts,8,"1,886"
Massachusetts,9,"1,578"
Massachusetts,10,"1,360"
Massachusetts,11,"1,236"
Massachusetts,12,"1,140"
Massachusetts,13,"1,129"
Massachusetts,14,"1,084"
Massachusetts,15,"1,048"
Massachusetts,16,"1,047"
Massachusetts,17,"1,060"
Massachusetts,18,"1,089"
Massachusetts,19,"1,022"
Massachusetts,20,996
Massachusetts,21,"1,049"
Massachusetts,22,"1,037"
Massachusetts,23,"1,059"
Massachusetts,24,"1,014"
Massachusetts,25,"1,012"
Massachusetts,26,"1,094"
Massachusetts,27,"1,125"
Massachusetts,28,"1,105"
Massachusetts,29,"1,101"
Massachusetts,30,"1,131"
Massachusetts,31,"1,196"
Massachusetts,32,"1,089"
Massachusetts,33,"1,218"
Massachusetts,34,"1,234"
Massachusetts,35,"1,214"
Massachusetts,36,"1,261"
Massachusetts,37,"1,331"
Massachusetts,38,"1,351"
Massachusetts,39,"1,426"
Massachusetts,40,"1,552"
Massachusetts,41,"1,526"
Massachusetts,42,"1,556"
Massachusetts,43,"1,558"
Massachusetts,44,"1,523"
Massachusetts,45,"1,567"
Massachusetts,46,"1,501"
Massachusetts,47,"1,362"
Massachusetts,48,"1,341"
Massachusetts,49,"1,264"
Massachusetts,50,"1,217"
Massachusetts,51,"1,208"
Massachusetts,52,"1,198"
Massachusetts,53,"1,143"
Massachusetts,54,"1,116"
Massachusetts,55,"1,112"
Massachusetts,56,"1,135"
Massachusetts,57,"1,095"
Massachusetts,58,"1,112"
Massachusetts,59,"1,133"
Massachusetts,60,"1,097"
Massachusetts,61,"1,150"
Massachusetts,62,"1,058"
Massachusetts,63,"1,048"
Massachusetts,64,995
Massachusetts,65,789
Michigan,-11,"2,015"
Michigan,-10,"2,065"
Michigan,-9,"1,937"
Michigan,-8,"2,012"
Michigan,-7,"2,004"
Michigan,-6,"1,940"
Michigan,-5,"2,013"
Michigan,-4,"2,056"
Michigan,-3,"1,973"
Michigan,-2,"1,988"
Michigan,-1,"1,955"
Michigan,0,"2,036"
Michigan,1,"2,432"
Michigan,2,"3,117"
Michigan,3,"3,385"
Michigan,4,"3,159"
Michigan,5,"2,806"
Michigan,6,"2,588"
Michigan,7,"2,241"
Michigan,8,"2,160"
Michigan,9,"2,012"
Michigan,10,"1,962"
Michigan,11,"2,000"
Michigan,12,"1,860"
Michigan,13,"1,885"
Michigan,14,"1,918"
Michigan,15,"1,984"
Michigan,16,"1,890"
Michigan,17,"1,879"
Michigan,18,"1,891"
Michigan,19,"1,968"
Michigan,20,"1,868"
Michigan,21,"2,024"
Michigan,22,"1,926"
Michigan,23,"1,936"
Michigan,24,"1,959"
Michigan,25,"1,942"
Michigan,26,"1,905"
Michigan,27,"2,006"
Michigan,28,"2,032"
Michigan,29,"2,146"
Michigan,30,"2,029"
Michigan,31,"2,207"
Michigan,32,"2,177"
Michigan,33,"2,347"
Michigan,34,"2,426"
Michigan,35,"2,623"
Michigan,36,"2,661"
Michigan,37,"2,804"
Michigan,38,"2,958"
Michigan,39,"2,765"
Michigan,40,"2,633"
Michigan,41,"2,552"
Michigan,42,"2,354"
Michigan,43,"2,394"
Michigan,44,"2,341"
Michigan,45,"2,185"
Michigan,46,"2,283"
Michigan,47,"2,079"
Michigan,48,"2,097"
Michigan,49,"2,062"
Michigan,50,"2,015"
Michigan,51,"1,856"
Michigan,52,"2,008"
Michigan,53,"2,086"
Michigan,54,"2,043"
Michigan,55,"2,319"
Michigan,56,"2,267"
Michigan,57,"2,390"
Michigan,58,"2,307"
Michigan,59,"2,220"
Michigan,60,"2,109"
Michigan,61,"2,137"
Michigan,62,"1,943"
Michigan,63,"1,870"
Michigan,64,"1,723"
Michigan,65,"1,281"
Minnesota,-11,"1,009"
Minnesota,-10,950
Minnesota,-9,946
Minnesota,-8,955
Minnesota,-7,942
Minnesota,-6,919
Minnesota,-5,941
Minnesota,-4,913
Minnesota,-3,933
Minnesota,-2,944
Minnesota,-1,882
Minnesota,0,894
Minnesota,1,909
Minnesota,2,928
Minnesota,3,943
Minnesota,4,955
Minnesota,5,"1,016"
Minnesota,6,"1,042"
Minnesota,7,"1,057"
Minnesota,8,"1,000"
Minnesota,9,"1,005"
Minnesota,10,"1,017"
Minnesota,11,"1,038"
Minnesota,12,973
Minnesota,13,941
Minnesota,14,840
Minnesota,15,876
Minnesota,16,865
Minnesota,17,869
Minnesota,18,878
Minnesota,19,818
Minnesota,20,897
Minnesota,21,888
Minnesota,22,907
Minnesota,23,919
Minnesota,24,895
Minnesota,25,893
Minnesota,26,957
Minnesota,27,969
Minnesota,28,886
Minnesota,29,"1,013"
Minnesota,30,953
Minnesota,31,"1,030"
Minnesota,32,"1,075"
Minnesota,33,"1,145"
Minnesota,34,"1,196"
Minnesota,35,"1,326"
Minnesota,36,"1,397"
Minnesota,37,"1,334"
Minnesota,38,"1,382"
Minnesota,39,"1,269"
Minnesota,40,"1,203"
Minnesota,41,"1,187"
Minnesota,42,"1,138"
Minnesota,43,"1,078"
Minnesota,44,947
Minnesota,45,923
Minnesota,46,982
Minnesota,47,910
Minnesota,48,903
Minnesota,49,967
Minnesota,50,931
Minnesota,51,862
Minnesota,52,863
Minnesota,53,862
Minnesota,54,868
Minnesota,55,870
Minnesota,56,885
Minnesota,57,926
Minnesota,58,946
Minnesota,59,875
Minnesota,60,897
Minnesota,61,827
Minnesota,62,770
Minnesota,63,758
Minnesota,64,762
Minnesota,65,587
Mississippi,-11,673
Mississippi,-10,648
Mississippi,-9,624
Mississippi,-8,612
Mississippi,-7,608
Mississippi,-6,703
Mississippi,-5,648
Mississippi,-4,625
Mississippi,-3,665
Mississippi,-2,663
Mississippi,-1,623
Mississippi,0,625
Mississippi,1,698
Mississippi,2,707
Mississippi,3,699
Mississippi,4,732
Mississippi,5,750
Mississippi,6,751
Mississippi,7,748
Mississippi,8,775
Mississippi,9,725
Mississippi,10,750
Mississippi,11,728
Mississippi,12,702
Mississippi,13,743
Mississippi,14,721
Mississippi,15,711
Mississippi,16,797
Mississippi,17,784
Mississippi,18,886
Mississippi,19,871
Mississippi,20,915
Mississippi,21,860
Mississippi,22,813
Mississippi,23,813
Mississippi,24,736
Mississippi,25,745
Mississippi,26,738
Mississippi,27,723
Mississippi,28,728
Mississippi,29,761
Mississippi,30,680
Mississippi,31,727
Mississippi,32,716
Mississippi,33,750
Mississippi,34,785
Mississippi,35,793
Mississippi,36,820
Mississippi,37,850
Mississippi,38,959
Mississippi,39,923
Mississippi,40,994
Mississippi,41,"1,068"
Mississippi,42,"1,046"
Mississippi,43,"1,057"
Mississippi,44,"1,016"
Mississippi,45,914
Mississippi,46,862
Mississippi,47,786
Mississippi,48,803
Mississippi,49,841
Mississippi,50,717
Mississippi,51,746
Mississippi,52,669
Mississippi,53,669
Mississippi,54,642
Mississippi,55,659
Mississippi,56,646
Mississippi,57,655
Mississippi,58,682
Mississippi,59,623
Mississippi,60,613
Mississippi,61,648
Mississippi,62,631
Mississippi,63,530
Mississippi,64,548
Mississippi,65,321
Missouri,-11,"1,327"
Missouri,-10,"1,333"
Missouri,-9,"1,334"
Missouri,-8,"1,352"
Missouri,-7,"1,364"
Missouri,-6,"1,334"
Missouri,-5,"1,348"
Missouri,-4,"1,361"
Missouri,-3,"1,370"
Missouri,-2,"1,394"
Missouri,-1,"1,301"
Missouri,0,"1,272"
Missouri,1,"1,343"
Missouri,2,"1,301"
Missouri,3,"1,466"
Missouri,4,"1,358"
Missouri,5,"1,448"
Missouri,6,"1,393"
Missouri,7,"1,427"
Missouri,8,"1,343"
Missouri,9,"1,304"
Missouri,10,"1,244"
Missouri,11,"1,293"
Missouri,12,"1,263"
Missouri,13,"1,228"
Missouri,14,"1,284"
Missouri,15,"1,284"
Missouri,16,"1,295"
Missouri,17,"1,367"
Missouri,18,"1,355"
Missouri,19,"1,366"
Missouri,20,"1,355"
Missouri,21,"1,380"
Missouri,22,"1,402"
Missouri,23,"1,382"
Missouri,24,"1,410"
Missouri,25,"1,369"
Missouri,26,"1,445"
Missouri,27,"1,465"
Missouri,28,"1,522"
Missouri,29,"1,531"
Missouri,30,"1,519"
Missouri,31,"1,577"
Missouri,32,"1,611"
Missouri,33,"1,790"
Missouri,34,"1,839"
Missouri,35,"1,858"
Missouri,36,"1,908"
Missouri,37,"1,962"
Missouri,38,"2,017"
Missouri,39,"1,890"
Missouri,40,"1,830"
Missouri,41,"1,833"
Missouri,42,"1,747"
Missouri,43,"1,781"
Missouri,44,"1,719"
Missouri,45,"1,608"
Missouri,46,"1,518"
Missouri,47,"1,419"
Missouri,48,"1,509"
Missouri,49,"1,396"
Missouri,50,"1,361"
Missouri,51,"1,304"
Missouri,52,"1,243"
Missouri,53,"1,377"
Missouri,54,"1,276"
Missouri,55,"1,367"
Missouri,56,"1,274"
Missouri,57,"1,252"
Missouri,58,"1,246"
Missouri,59,"1,161"
Missouri,60,"1,218"
Missouri,61,"1,146"
Missouri,62,"1,078"
Missouri,63,"1,107"
Missouri,64,"1,004"
Missouri,65,732
Montana,-11,231
Montana,-10,211
Montana,-9,202
Montana,-8,197
Montana,-7,218
Montana,-6,202
Montana,-5,198
Montana,-4,217
Montana,-3,236
Montana,-2,221
Montana,-1,218
Montana,0,229
Montana,1,205
Montana,2,177
Montana,3,216
Montana,4,191
Montana,5,187
Montana,6,204
Montana,7,177
Montana,8,205
Montana,9,181
Montana,10,180
Montana,11,178
Montana,12,223
Montana,13,198
Montana,14,199
Montana,15,175
Montana,16,190
Montana,17,203
Montana,18,224
Montana,19,216
Montana,20,216
Montana,21,204
Montana,22,240
Montana,23,195
Montana,24,233
Montana,25,221
Montana,26,235
Montana,27,236
Montana,28,240
Montana,29,282
Montana,30,267
Montana,31,295
Montana,32,317
Montana,33,299
Montana,34,323
Montana,35,332
Montana,36,307
Montana,37,270
Montana,38,303
Montana,39,271
Montana,40,308
Montana,41,274
Montana,42,248
Montana,43,253
Montana,44,247
Montana,45,199
Montana,46,216
Montana,47,222
Montana,48,210
Montana,49,224
Montana,50,188
Montana,51,199
Montana,52,222
Montana,53,204
Montana,54,168
Montana,55,204
Montana,56,232
Montana,57,204
Montana,58,221
Montana,59,194
Montana,60,194
Montana,61,220
Montana,62,198
Montana,63,184
Montana,64,173
Montana,65,96
Nebraska,-11,346
Nebraska,-10,362
Nebraska,-9,333
Nebraska,-8,358
Nebraska,-7,373
Nebraska,-6,345
Nebraska,-5,327
Nebraska,-4,318
Nebraska,-3,341
Nebraska,-2,355
Nebraska,-1,343
Nebraska,0,350
Nebraska,1,331
Nebraska,2,310
Nebraska,3,343
Nebraska,4,353
Nebraska,5,353
Nebraska,6,344
Nebraska,7,338
Nebraska,8,352
Nebraska,9,347
Nebraska,10,375
Nebraska,11,319
Nebraska,12,319
Nebraska,13,371
Nebraska,14,320
Nebraska,15,308
Nebraska,16,317
Nebraska,17,325
Nebraska,18,361
Nebraska,19,358
Nebraska,20,381
Nebraska,21,354
Nebraska,22,363
Nebraska,23,323
Nebraska,24,350
Nebraska,25,339
Nebraska,26,328
Nebraska,27,378
Nebraska,28,373
Nebraska,29,406
Nebraska,30,401
Nebraska,31,425
Nebraska,32,442
Nebraska,33,498
Nebraska,34,551
Nebraska,35,574
Nebraska,36,565
Nebraska,37,514
Nebraska,38,501
Nebraska,39,460
Nebraska,40,426
Nebraska,41,434
Nebraska,42,446
Nebraska,43,390
Nebraska,44,407
Nebraska,45,378
Nebraska,46,364
Nebraska,47,341
Nebraska,48,328
Nebraska,49,318
Nebraska,50,354
Nebraska,51,318
Nebraska,52,328
Nebraska,53,332
Nebraska,54,329
Nebraska,55,320
Nebraska,56,360
Nebraska,57,326
Nebraska,58,366
Nebraska,59,337
Nebraska,60,365
Nebraska,61,314
Nebraska,62,314
Nebraska,63,283
Nebraska,64,241
Nebraska,65,143
Nevada,-11,521
Nevada,-10,556
Nevada,-9,605
Nevada,-8,577
Nevada,-7,532
Nevada,-6,579
Nevada,-5,530
Nevada,-4,546
Nevada,-3,544
Nevada,-2,535
Nevada,-1,515
Nevada,0,508
Nevada,1,543
Nevada,2,593
Nevada,3,588
Nevada,4,546
Nevada,5,565
Nevada,6,547
Nevada,7,544
Nevada,8,514
Nevada,9,536
Nevada,10,543
Nevada,11,562
Nevada,12,543
Nevada,13,519
Nevada,14,557
Nevada,15,528
Nevada,16,633
Nevada,17,640
Nevada,18,657
Nevada,19,620
Nevada,20,694
Nevada,21,662
Nevada,22,648
Nevada,23,633
Nevada,24,640
Nevada,25,559
Nevada,26,537
Nevada,27,528
Nevada,28,564
Nevada,29,558
Nevada,30,526
Nevada,31,541
Nevada,32,604
Nevada,33,555
Nevada,34,631
Nevada,35,663
Nevada,36,744
Nevada,37,773
Nevada,38,908
Nevada,39,845
Nevada,40,867
Nevada,41,855
Nevada,42,885
Nevada,43,845
Nevada,44,824
Nevada,45,782
Nevada,46,719
Nevada,47,701
Nevada,48,637
Nevada,49,665
Nevada,50,557
Nevada,51,604
Nevada,52,593
Nevada,53,550
Nevada,54,574
Nevada,55,542
Nevada,56,531
Nevada,57,571
Nevada,58,544
Nevada,59,570
Nevada,60,541
Nevada,61,490
Nevada,62,471
Nevada,63,518
Nevada,64,449
Nevada,65,358
New Hampshire,-11,260
New Hampshire,-10,263
New Hampshire,-9,245
New Hampshire,-8,241
New Hampshire,-7,240
New Hampshire,-6,256
New Hampshire,-5,236
New Hampshire,-4,277
New Hampshire,-3,228
New Hampshire,-2,266
New Hampshire,-1,240
New Hampshire,0,252
New Hampshire,1,258
New Hampshire,2,248
New Hampshire,3,270
New Hampshire,4,242
New Hampshire,5,274
New Hampshire,6,266
New Hampshire,7,292
New Hampshire,8,285
New Hampshire,9,268
New Hampshire,10,250
New Hampshire,11,259
New Hampshire,12,302
New Hampshire,13,238
New Hampshire,14,250
New Hampshire,15,247
New Hampshire,16,249
New Hampshire,17,231
New Hampshire,18,266
New Hampshire,19,248
New Hampshire,20,233
New Hampshire,21,230
New Hampshire,22,250
New Hampshire,23,231
New Hampshire,24,234
New Hampshire,25,228
New Hampshire,26,226
New Hampshire,27,273
New Hampshire,28,222
New Hampshire,29,255
New Hampshire,30,253
New Hampshire,31,234
New Hampshire,32,257
New Hampshire,33,263
New Hampshire,34,285
New Hampshire,35,259
New Hampshire,36,284
New Hampshire,37,313
New Hampshire,38,312
New Hampshire,39,288
New Hampshire,40,357
New Hampshire,41,304
New Hampshire,42,323
New Hampshire,43,357
New Hampshire,44,296
New Hampshire,45,272
New Hampshire,46,289
New Hampshire,47,257
New Hampshire,48,264
New Hampshire,49,244
New Hampshire,50,246
New Hampshire,51,236
New Hampshire,52,231
New Hampshire,53,245
New Hampshire,54,214
New Hampshire,55,230
New Hampshire,56,225
New Hampshire,57,253
New Hampshire,58,245
New Hampshire,59,244
New Hampshire,60,231
New Hampshire,61,270
New Hampshire,62,227
New Hampshire,63,244
New Hampshire,64,252
New Hampshire,65,214
New Jersey,-11,"1,628"
New Jersey,-10,"1,588"
New Jersey,-9,"1,490"
New Jersey,-8,"1,579"
New Jersey,-7,"1,517"
New Jersey,-6,"1,495"
New Jersey,-5,"1,488"
New Jersey,-4,"1,494"
New Jersey,-3,"1,571"
New Jersey,-2,"1,509"
New Jersey,-1,"1,477"
New Jersey,0,"1,600"
New Jersey,1,"2,124"
New Jersey,2,"3,484"
New Jersey,3,"4,774"
New Jersey,4,"4,733"
New Jersey,5,"3,979"
New Jersey,6,"3,181"
New Jersey,7,"2,603"
New Jersey,8,"2,287"
New Jersey,9,"1,937"
New Jersey,10,"1,746"
New Jersey,11,"1,587"
New Jersey,12,"1,486"
New Jersey,13,"1,411"
New Jersey,14,"1,445"
New Jersey,15,"1,407"
New Jersey,16,"1,389"
New Jersey,17,"1,324"
New Jersey,18,"1,370"
New Jersey,19,"1,391"
New Jersey,20,"1,344"
New Jersey,21,"1,308"
New Jersey,22,"1,341"
New Jersey,23,"1,335"
New Jersey,24,"1,397"
New Jersey,25,"1,389"
New Jersey,26,"1,378"
New Jersey,27,"1,395"
New Jersey,28,"1,330"
New Jersey,29,"1,401"
New Jersey,30,"1,341"
New Jersey,31,"1,470"
New Jersey,32,"1,434"
New Jersey,33,"1,567"
New Jersey,34,"1,632"
New Jersey,35,"1,676"
New Jersey,36,"1,697"
New Jersey,37,"1,904"
New Jersey,38,"2,026"
New Jersey,39,"2,094"
New Jersey,40,"2,064"
New Jersey,41,"2,215"
New Jersey,42,"2,053"
New Jersey,43,"2,159"
New Jersey,44,"1,988"
New Jersey,45,"2,004"
New Jersey,46,"2,026"
New Jersey,47,"1,858"
New Jersey,48,"1,817"
New Jersey,49,"1,792"
New Jersey,50,"1,709"
New Jersey,51,"1,581"
New Jersey,52,"1,668"
New Jersey,53,"1,616"
New Jersey,54,"1,583"
New Jersey,55,"1,666"
New Jersey,56,"1,576"
New Jersey,57,"1,650"
New Jersey,58,"1,633"
New Jersey,59,"1,463"
New Jersey,60,"1,464"
New Jersey,61,"1,450"
New Jersey,62,"1,311"
New Jersey,63,"1,365"
New Jersey,64,"1,074"
New Jersey,65,"1,140"
New Mexico,-11,408
New Mexico,-10,410
New Mexico,-9,388
New Mexico,-8,404
New Mexico,-7,370
New Mexico,-6,377
New Mexico,-5,382
New Mexico,-4,391
New Mexico,-3,396
New Mexico,-2,400
New Mexico,-1,342
New Mexico,0,390
New Mexico,1,365
New Mexico,2,399
New Mexico,3,410
New Mexico,4,422
New Mexico,5,407
New Mexico,6,420
New Mexico,7,442
New Mexico,8,474
New Mexico,9,396
New Mexico,10,433
New Mexico,11,448
New Mexico,12,445
New Mexico,13,416
New Mexico,14,399
New Mexico,15,448
New Mexico,16,407
New Mexico,17,401
New Mexico,18,435
New Mexico,19,407
New Mexico,20,433
New Mexico,21,394
New Mexico,22,411
New Mexico,23,397
New Mexico,24,376
New Mexico,25,398
New Mexico,26,398
New Mexico,27,399
New Mexico,28,388
New Mexico,29,389
New Mexico,30,406
New Mexico,31,433
New Mexico,32,460
New Mexico,33,519
New Mexico,34,577
New Mexico,35,587
New Mexico,36,601
New Mexico,37,662
New Mexico,38,686
New Mexico,39,662
New Mexico,40,625
New Mexico,41,606
New Mexico,42,581
New Mexico,43,529
New Mexico,44,528
New Mexico,45,479
New Mexico,46,462
New Mexico,47,461
New Mexico,48,432
New Mexico,49,453
New Mexico,50,441
New Mexico,51,398
New Mexico,52,437
New Mexico,53,423
New Mexico,54,420
New Mexico,55,402
New Mexico,56,408
New Mexico,57,387
New Mexico,58,360
New Mexico,59,380
New Mexico,60,398
New Mexico,61,365
New Mexico,62,351
New Mexico,63,320
New Mexico,64,248
New Mexico,65,207
New York,-11,"2,164"
New York,-10,"2,092"
New York,-9,"2,169"
New York,-8,"2,023"
New York,-7,"2,031"
New York,-6,"2,058"
New York,-5,"1,990"
New York,-4,"2,033"
New York,-3,"2,161"
New York,-2,"2,072"
New York,-1,"1,981"
New York,0,"2,130"
New York,1,"2,545"
New York,2,"3,777"
New York,3,"4,667"
New York,4,"4,466"
New York,5,"3,743"
New York,6,"3,130"
New York,7,"2,779"
New York,8,"2,508"
New York,9,"2,246"
New York,10,"2,115"
New York,11,"1,974"
New York,12,"1,899"
New York,13,"1,901"
New York,14,"1,931"
New York,15,"1,893"
New York,16,"1,893"
New York,17,"1,849"
