Jurisdiction of Occurrence,Week ,All Cause
Arkansas,34,893
Arkansas,35,876
Arkansas,36,833
Arkansas,37,944
Arkansas,38,912
Arkansas,39,936
Arkansas,40,922
Arkansas,41,968
Arkansas,42,960
Arkansas,43,962
Arkansas,44,982
Arkansas,45,873
Arkansas,46,863
Arkansas,47,801
Arkansas,48,772
Arkansas,49,788
Arkansas,50,740
Arkansas,51,717
Arkansas,52,642
Arkansas,53,698
Arkansas,54,597
Arkansas,55,687
Arkansas,56,606
Arkansas,57,655
Arkansas,58,642
Arkansas,59,692
Arkansas,60,682
Arkansas,61,665
Arkansas,62,633
Arkansas,63,641
Arkansas,64,586
Arkansas,65,488
California,-11,"5,888"
California,-10,"5,873"
California,-9,"5,830"
California,-8,"5,832"
California,-7,"5,686"
California,-6,"5,913"
California,-5,"5,587"
California,-4,"5,797"
California,-3,"5,680"
California,-2,"5,736"
California,-1,"5,465"
California,0,"5,681"
California,1,"5,689"
California,2,"5,986"
California,3,"6,047"
California,4,"6,131"
California,5,"5,938"
California,6,"5,744"
California,7,"5,671"
California,8,"5,695"
California,9,"5,530"
California,10,"5,593"
California,11,"5,518"
California,12,"5,570"
California,13,"5,489"
California,14,"5,701"
California,15,"5,901"
California,16,"6,042"
California,17,"6,229"
California,18,"6,250"
California,19,"6,339"
California,20,"6,309"
California,21,"6,291"
California,22,"6,477"
California,23,"5,878"
California,24,"5,784"
California,25,"5,874"
California,26,"5,753"
California,27,"5,562"
California,28,"5,669"
California,29,"5,568"
California,30,"5,620"
California,31,"5,350"
California,32,"5,529"
California,33,"5,872"
California,34,"6,002"
California,35,"6,350"
California,36,"6,391"
California,37,"7,160"
California,38,"8,143"
California,39,"9,218"
California,40,"10,550"
California,41,"11,233"
California,42,"11,882"
California,43,"11,551"
California,44,"10,393"
California,45,"9,574"
California,46,"8,757"
California,47,"7,846"
California,48,"6,996"
California,49,"6,702"
California,50,"6,428"
California,51,"6,177"
California,52,"5,955"
California,53,"5,759"
California,54,"5,721"
California,55,"5,387"
California,56,"5,299"
California,57,"5,315"
California,58,"5,327"
California,59,"5,278"
California,60,"5,175"
California,61,"5,117"
California,62,"5,084"
California,63,"4,796"
California,64,"4,357"
California,65,"3,281"
Colorado,-11,854
Colorado,-10,872
Colorado,-9,848
Colorado,-8,853
Colorado,-7,793
Colorado,-6,847
Colorado,-5,807
Colorado,-4,881
Colorado,-3,842
Colorado,-2,821
Colorado,-1,822
Colorado,0,891
Colorado,1,860
Colorado,2,967
Colorado,3,"1,096"
Colorado,4,"1,106"
Colorado,5,"1,067"
Colorado,6,999
Colorado,7,906
Colorado,8,887
Colorado,9,847
Colorado,10,834
Colorado,11,820
Colorado,12,816
Colorado,13,863
Colorado,14,877
Colorado,15,788
Colorado,16,815
Colorado,17,808
Colorado,18,833
Colorado,19,813
Colorado,20,841
Colorado,21,836
Colorado,22,863
Colorado,23,817
Colorado,24,743
Colorado,25,850
Colorado,26,804
Colorado,27,838
Colorado,28,782
Colorado,29,801
Colorado,30,867
Colorado,31,869
Colorado,32,907
Colorado,33,"1,007"
Colorado,34,"1,040"
Colorado,35,"1,132"
Colorado,36,"1,216"
Colorado,37,"1,256"
Colorado,38,"1,258"
