,code,count,week,July 2019 Estimate,normalized_counts,state,deaths
95,TX,5193,45,28995881,0.0001790944030981,Texas,6631
96,TX,5003,46,28995881,0.0001725417482572,Texas,6229
97,TX,5116,47,28995881,0.0001764388535047,Texas,5883
98,TX,4845,48,28995881,0.0001670926984422,Texas,6393
99,TX,8989,49,28995881,0.0003100095492873,Texas,5642
100,NY,2544,0,19453561,0.0001307729726192,New York,2130
101,NY,2109,1,19453561,0.0001084120280086,New York,2545
102,NY,1464,2,19453561,7.525614462051447e-05,New York,3777
103,NY,972,3,19453561,4.996514519886616e-05,New York,4667
104,NY,3746,4,19453561,0.000192561146003,New York,4466
105,NY,4424,5,19453561,0.0002274133769133,New York,3743
106,NY,4264,6,19453561,0.0002191886616542,New York,3130
107,NY,4165,7,19453561,0.0002140996190877,New York,2779
108,NY,6321,8,19453561,0.0003249276572037,New York,2508
109,NY,6773,9,19453561,0.0003481624778106,New York,2246
110,NY,5434,10,19453561,0.0002793318919862,New York,2115
111,NY,4828,11,19453561,0.0002481807829425,New York,1974
112,NY,5649,12,19453561,0.0002903838531156,New York,1899
113,NY,6794,13,19453561,0.0003492419716883,New York,1901
114,NY,7319,14,19453561,0.0003762293186322,New York,1931
115,NY,7209,15,19453561,0.0003705748268915,New York,1893
116,NY,7113,16,19453561,0.0003656399977361,New York,1893
117,NY,7180,17,19453561,0.0003690840972508,New York,1849
118,NY,7081,18,19453561,0.0003639950546843,New York,1814
119,NY,7079,19,19453561,0.0003638922457435,New York,1886
120,NY,7401,20,19453561,0.0003804444852024,New York,1877
121,NY,7169,21,19453561,0.0003685186480768,New York,1824
122,NY,6714,22,19453561,0.0003451296140588,New York,1876
123,NY,6572,23,19453561,0.0003378301792664,New York,1813
124,NY,6548,24,19453561,0.0003365964719775,New York,1797
125,NY,6982,25,19453561,0.0003589060121177,New York,1794
126,NY,5656,26,19453561,0.0002907436844082,New York,1880
127,NY,5647,27,19453561,0.0002902810441748,New York,2092
128,NY,8550,28,19453561,0.0004395082216566,New York,1983
129,NY,6735,29,19453561,0.0003462091079365,New York,2093
130,NY,5588,30,19453561,0.0002872481804231,New York,1940
131,NY,6429,31,19453561,0.0003304793400036,New York,1900
132,NY,6821,32,19453561,0.0003506298923883,New York,2010
133,NY,8343,33,19453561,0.0004288674962902,New York,2163
134,NY,10329,34,19453561,0.0005309567744435,New York,2064
135,NY,9399,35,19453561,0.0004831506170001,New York,2187
136,NY,7306,36,19453561,0.0003755610605174,New York,2305
137,NY,9132,37,19453561,0.0004694256234115,New York,2409
138,NY,9367,38,19453561,0.0004815056739483,New York,2639
139,NY,7784,39,19453561,0.0004001323973538,New York,2777
140,NY,5748,40,19453561,0.0002954728956821,New York,2930
141,NY,6090,41,19453561,0.0003130532245484,New York,2925
142,NY,5228,42,19453561,0.0002687425710901,New York,3041
143,NY,5465,43,19453561,0.0002809254305676,New York,3177
144,NY,5637,44,19453561,0.0002897669994712,New York,2962
145,NY,5750,45,19453561,0.0002955757046229,New York,2845
146,NY,5448,46,19453561,0.0002800515545714,New York,2827
147,NY,4958,47,19453561,0.0002548633640905,New York,2506
148,NY,4806,48,19453561,0.0002470498845943,New York,2457
149,NY,5538,49,19453561,0.0002846779569046,New York,2355
150,FL,2134,0,21477737,9.93586987306903e-05,Florida,4362
151,FL,1919,1,21477737,8.934833311349329e-05,Florida,4461
152,FL,1347,2,21477737,6.271610458774125e-05,Florida,4497
153,FL,837,3,21477737,3.897058614694835e-05,Florida,4544
154,FL,2893,4,21477737,0.0001346976173513,Florida,4416
155,FL,3275,5,21477737,0.0001524834762619,Florida,4555
156,FL,3016,6,21477737,0.0001404244776812,Florida,4352
157,FL,2913,7,21477737,0.0001356288141529,Florida,4407
158,FL,4857,8,21477737,0.0002261411432684,Florida,4279
159,FL,4799,9,21477737,0.0002234406725438,Florida,4360
160,FL,3950,10,21477737,0.0001839113683159,Florida,4211
161,FL,3692,11,21477737,0.0001718989295753,Florida,4265
162,FL,5345,12,21477737,0.0002488623452275,Florida,4256
163,FL,7108,13,21477737,0.0003309473432885,Florida,4408
164,FL,7972,14,21477737,0.0003711750451176,Florida,4504
165,FL,7864,15,21477737,0.000366146582389,Florida,4725
166,FL,8383,16,21477737,0.0003903111393905,Florida,5084
167,FL,7138,17,21477737,0.0003323441384909,Florida,5509
168,FL,6882,18,21477737,0.0003204248194304,Florida,5704
169,FL,6929,19,21477737,0.0003226131319142,Florida,5791
170,FL,6854,20,21477737,0.0003191211439082,Florida,5585
171,FL,6154,21,21477737,0.0002865292558522,Florida,5510
172,FL,5024,22,21477737,0.0002339166365618,Florida,5203
173,FL,5196,23,21477737,0.0002419249290556,Florida,5015
174,FL,4945,24,21477737,0.0002302384091955,Florida,4758
175,FL,5527,25,21477737,0.000257336236122,Florida,4513
176,FL,4412,26,21477737,0.0002054220144328,Florida,4667
177,FL,4750,27,21477737,0.0002211592403799,Florida,4444
178,FL,6174,28,21477737,0.0002874604526538,Florida,4346
179,FL,5480,29,21477737,0.0002551479236383,Florida,4525
180,FL,4842,30,21477737,0.0002254427456672,Florida,4389
181,FL,5003,31,21477737,0.0002329388799201,Florida,4335
182,FL,5765,32,21477737,0.0002684174780611,Florida,4265
183,FL,6109,33,21477737,0.0002844340630486,Florida,4305
184,FL,7281,34,21477737,0.0003390021956223,Florida,4487
185,FL,7348,35,21477737,0.0003421217049077,Florida,4561
186,FL,5859,36,21477737,0.0002727941030286,Florida,4634
187,FL,7051,37,21477737,0.0003282934324039,Florida,4911
188,FL,7284,38,21477737,0.0003391418751426,Florida,5085
189,FL,6663,39,21477737,0.0003102282144529,Florida,4945
190,FL,5244,40,21477737,0.0002441598013794,Florida,5137
191,FL,5360,41,21477737,0.0002495607428287,Florida,5708
192,FL,4134,42,21477737,0.0001924783788906,Florida,5497
193,FL,4610,43,21477737,0.0002146408627687,Florida,5923
194,FL,5023,44,21477737,0.0002338700767217,Florida,5663
195,FL,4310,45,21477737,0.0002006729107447,Florida,5487
196,FL,4625,46,21477737,0.0002153392603699,Florida,5569
197,FL,3805,47,21477737,0.0001771601915043,Florida,5459
198,FL,4071,48,21477737,0.0001895451089656,Florida,5119
199,FL,4719,49,21477737,0.0002197158853374,Florida,4891
200,GA,1369,0,10617423,0.0001289390090231,Georgia,1775
201,GA,1214,1,10617423,0.0001143403630052,Georgia,1881
202,GA,865,2,10617423,8.146986326154661e-05,Georgia,2033
203,GA,518,3,10617423,4.878773314390884e-05,Georgia,2041
204,GA,1281,4,10617423,0.0001206507454775,Georgia,2031
205,GA,1434,5,10617423,0.0001350610218694,Georgia,2040
206,GA,1451,6,10617423,0.0001366621636907,Georgia,1975
207,GA,1327,7,10617423,0.0001249832468763,Georgia,1986
208,GA,2285,8,10617423,0.0002152122977487,Georgia,1961
209,GA,2290,9,10617423,0.0002156832218138,Georgia,1910
210,GA,1928,10,10617423,0.0001815883195008,Georgia,1784
211,GA,1748,11,10617423,0.0001646350531574,Georgia,1782
212,GA,2102,12,10617423,0.0001979764769662,Georgia,1745
213,GA,2530,13,10617423,0.0002382875769383,Georgia,1780
214,GA,2960,14,10617423,0.0002787870465366,Georgia,1823
215,GA,3365,15,10617423,0.0003169318958093,Georgia,1879
216,GA,3271,16,10617423,0.0003080785233855,Georgia,1983
217,GA,3514,17,10617423,0.0003309654329492,Georgia,2176
218,GA,2983,18,10617423,0.000280953297236,Georgia,2177
219,GA,3198,19,10617423,0.0003012030320351,Georgia,2192
220,GA,3266,20,10617423,0.0003076075993204,Georgia,2192
221,GA,3068,21,10617423,0.0002889590063426,Georgia,2243
222,GA,2563,22,10617423,0.000241395675768,Georgia,2247
223,GA,2367,23,10617423,0.0002229354524162,Georgia,2132
224,GA,2344,24,10617423,0.0002207692017168,Georgia,2043
225,GA,2337,25,10617423,0.0002201099080257,Georgia,2073
226,GA,1871,26,10617423,0.0001762197851587,Georgia,1926
227,GA,1873,27,10617423,0.0001764081547848,Georgia,1997
228,GA,2606,28,10617423,0.0002454456227278,Georgia,1926
229,GA,2325,29,10617423,0.0002189796902694,Georgia,1886
